Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date ,  Field 1 Label,  Field 1 Entry,  Field 2 Label,  Field 2 Entry, Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 B04, 14-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2356, 50230.7115658309, 10138.7656963102, 11022.3086409818, 32.9914455491709, 10704.3938549841, 11750.179944223, 40.4372251282784, 95.3688779113905, 96.3914937810345, 276.917629512753,
 B05, 15-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2317, 86673.2604145094, 6149.51561484296, 6494.95007493333, 51.2956257444283, 6101.33783558617, 6129.48642467575, 53.4485823297163, 95.3517069749489, 89.6504425561243, 323.112851271829,
 B05, 15-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2393, 104578.077487461, 7993.03598443215, 8798.56796320649, 42.6399941542864, 8020.97035931221, 8419.05150555509, 48.4651588796993, 103.643086686242, 97.581820375936, 284.015294483855,
 B05, 15-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2410, 100965.318299653, 7812.60218666991, 8544.87498645496, 40.7800030839155, 7966.80644376041, 8337.475572445, 46.7719558410062, 103.813242162675, 97.7360104696469, 289.38153139192,
 B06, 15-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2401, 106786.778518777, 11216.8062093532, 11950.0359858904, 31.2531566449983, 10884.3543139255, 11585.6397731045, 38.31490570805, 97.9685543372706, 96.5641838802802, 304.53115840136,
 B06, 15-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2373, 105783.135204359, 11298.7859031066, 11878.3898834623, 33.1579190531603, 11173.2172676835, 11780.304104812, 41.235943116691, 105.204542706964, 101.23913923098, 306.367270736267,
 B06, 15-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2399, 108864.045084203, 11100.9508902006, 11725.7189522291, 29.2722310243117, 10907.7232691585, 11398.0335072356, 36.4644560653258, 101.529368646918, 96.715305880842, 287.59389492644,
 B07, 19-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2408, 106331.107729108, 11023.1567808961, 11625.8682219953, 31.2770013330814, 11228.9945098977, 11956.7162577357, 38.6439413366366, 107.7949842943, 103.607480166913, 204.42362178011,
 B07, 19-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2390, 101989.588217184, 10889.460505236, 11508.0636293283, 31.484773114757, 11251.1037065536, 11852.5297541678, 38.5990033850045, 111.943280347736, 108.683309163225, 212.060290951856,
 B07, 19-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2393, 99114.2128334611, 10847.641633464, 11566.7143524351, 33.1228288349975, 11104.6066212852, 11890.2770665045, 41.2189526052274, 108.379530700606, 107.536144225659, 210.184275311219,
 B08, 19-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2369, 96988.73490628, 10917.4453668693, 11557.4726152826, 31.4034849428596, 11293.9701387407, 11955.1147521899, 38.7392191740982, 110.800778502861, 103.126386053115, 231.197805555139,
 B08, 19-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2395, 101709.235056246, 10618.0443182896, 11284.8790856875, 33.2163532702312, 11123.1423794404, 12000.3016105449, 39.8653775578714, 107.714185009567, 103.47793549036, 211.615658808503,
 B08, 19-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2380, 98867.3465727944, 11007.5106649623, 11793.8411343253, 31.1882794769757, 11482.8297252199, 12355.6619175951, 37.8979855576402, 108.239618188903, 109.238351900907, 178.521455500266,
 B09, 20-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2336, 127514.628934232, 10403.2629975819, 11204.0627904828, 34.1667698677952, 9954.33075157564, 10637.0834648511, 42.259493563247, 90.4708902651269, 89.3019816916012, 285.270883164005,
 B09, 20-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2357, 125301.207729699, 10306.6806215787, 11361.973638495, 34.5967929510476, 9887.06322565243, 10643.3569759332, 41.7289661480572, 88.1565339663734, 91.8892493485776, 250.664752510183,
 B09, 20-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2351, 128142.757983182, 10207.4317935652, 11115.6086129379, 33.6691986498697, 9867.034291953, 10641.3588642934, 40.7757553515429, 88.6082695793303, 90.1068504079063, 232.642651769775,
 B10, 20-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2323, 134508.784716221, 10475.1749866749, 11373.5438240513, 33.9659917814952, 10084.2597094548, 10971.6332558277, 40.6825050635316, 92.1783105449719, 93.4434507847979, 243.785341774122,
 B10, 20-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2326, 126793.851664099, 10612.5809698857, 11280.5185340607, 33.4719813097764, 10236.7578063448, 10897.5940907543, 41.5266195547188, 90.0175598576085, 92.7280246075758, 177.211711923471,
 B10, 20-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 2317, 127066.250850945, 10468.0322478156, 11305.7761073203, 33.2255100583918, 10215.240075116, 11063.1923330857, 39.4158380642293, 91.7029608903945, 93.0456592698816, 203.763244513319,
 B11, 21-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2449, 52964.8222798964, 10116.1927585541, 10767.1005835438, 32.9770439809018, 11239.9558736057, 11889.0369036759, 39.8105654145222, 113.189085075423, 106.623343450708, 327.447003759476,
 B11, 21-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2317, 49417.6908033676, 9847.39189043129, 10528.2231071908, 32.8519910423001, 11078.776163773, 11754.9156407493, 38.8555741356373, 108.686554032499, 103.231232248741, 317.220437060418,
 B11, 21-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 1397, 29775.723315465, 9620.41932460514, 10223.6928119171, 34.5185655234175, 10779.344936657, 11457.054298267, 40.7386762426027, 111.502023381691, 101.735609651772, 320.544221745635,
 B12, 21-Rep 001, 09.18.2022, blank, blank, blank, blank, 100, 2272, 48438.8058683743, 10157.0465574644, 10834.6249122532, 32.6537632101045, 11629.1037805682, 12398.1965415461, 40.0031449127945, 108.636144676031, 104.119337231721, 352.162056477591,
 B12, 21-Rep 002, 09.18.2022, blank, blank, blank, blank, 100, 2141, 45648.8818512253, 9894.7952611078, 10628.3394356123, 33.1154399853168, 11408.826103181, 12181.8003977896, 39.370557023386, 106.8307107076, 104.810102750365, 305.611605496354,
 B12, 21-Rep 003, 09.18.2022, blank, blank, blank, blank, 100, 1169, 24903.0782911625, 9712.50515010226, 10501.4275527395, 34.9599500683242, 11362.3550332634, 12295.3324595719, 42.3629815953874, 107.781542768155, 104.165589405057, 325.588980207029,
 C01, 73, 09.18.2022, blank, blank, blank, blank, 100, 1783, 38024.0191625587, 5440.41707596244, 5481.46754141197, 53.7175588671305, 6137.00966009585, 6084.4277978246, 50.9877249273734, 94.2941330505934, 85.9006242220554, 252.226488717319,
 C02, 73, 09.18.2022, blank, blank, blank, blank, 100, 2116, 63728.2427733941, 10877.3547778768, 13043.9001869696, 40.3464977957952, 10868.9563918151, 13331.5837222117, 48.4900070124898, 74.7640348695416, 82.1261381760721, 349.404970426613,
 C03, 74, 09.18.2022, blank, blank, blank, blank, 100, 2281, 92857.5576031269, 10496.6567081326, 12067.6603261289, 38.8730534921368, 11050.585938312, 13087.5107631248, 46.6038076026726, 84.3507362118212, 91.9478349802574, 210.696708594455,
 C04, 74, 09.18.2022, blank, blank, blank, blank, 100, 2331, 104856.670229188, 11088.0826872849, 12413.942814359, 37.9516604305565, 11563.1273836053, 13172.0455826688, 47.1726054178922, 88.4635961705987, 92.6540117556093, 226.698897180462,
 C05, 75, 09.18.2022, blank, blank, blank, blank, 100, 2189, 53940.2873290131, 10194.7284285108, 11830.2324614821, 42.3288624258268, 10618.4318862832, 12792.5592052672, 53.2970344041987, 87.7940513226135, 92.9747360284594, 317.849281217235,
 C06, 75, 09.18.2022, blank, blank, blank, blank, 100, 2229, 55846.3775280328, 10319.321083169, 11917.0961812008, 40.0174328916851, 10587.2742600652, 12634.2823739581, 48.5281086843919, 84.5190930768617, 91.8460783381674, 341.435901477899,
 C07, 79, 09.18.2022, blank, blank, blank, blank, 100, 2354, 160594.300973532, 8382.17162068612, 9008.73873344195, 36.3000983301896, 8934.99911952809, 9769.90491489669, 42.3002165278395, 76.1084179960645, 70.7347947445317, 210.457620889529,
 C08, 79, 09.18.2022, blank, blank, blank, blank, 100, 2348, 147073.517771857, 8443.09681045455, 9046.41877993429, 36.7065911403344, 9017.9167666493, 9821.91300284885, 43.0797739355412, 74.6023928691372, 69.7418305592356, 211.901038451321,
 C09, 80, 09.18.2022, blank, blank, blank, blank, 100, 2313, 123161.143343812, 9615.63058397326, 10366.431721043, 41.3010545729995, 9457.83974839643, 10428.6948853959, 52.272886666562, 92.8561723421114, 90.572492969344, 348.014996415933,
 C10, 80, 09.18.2022, blank, blank, blank, blank, 100, 2310, 141115.78681682, 9821.55974522279, 10563.6316152816, 38.7471724256478, 9558.51027204437, 10337.4597982262, 49.671519636854, 96.0298570615913, 88.515648163142, 302.493207668287,
 C11, 81, 09.18.2022, blank, blank, blank, blank, 100, 2348, 143465.388620609, 11424.6637507358, 12346.6031523597, 33.2170075309235, 12234.9235237203, 13429.3236945889, 41.2626898481288, 99.9379614164485, 94.9174761576309, 282.617129646372,
 C12, 81, 09.18.2022, blank, blank, blank, blank, 100, 2363, 135221.114192383, 11068.6208120619, 12099.1297790816, 33.8372669262281, 11889.2401929027, 13306.8692486734, 39.9797809441325, 96.6865210630908, 92.4875020112891, 278.752469726953,
 D01, 85, 09.18.2022, blank, blank, blank, blank, 100, 2309, 81594.1882597544, 9378.92542193424, 10260.6566614148, 38.3239038614077, 11551.092116045, 12838.3597340243, 42.359201050761, 103.518406362633, 101.75722617659, 197.892387035991,
 D02, 85, 09.18.2022, blank, blank, blank, blank, 100, 2326, 68571.3880957835, 9325.5105993109, 10347.9412488631, 39.3986467689183, 11314.3694722806, 12881.4245443998, 44.9199240265719, 101.57637759429, 99.6787604512564, 192.846673939393,
 D03, 86, 09.18.2022, blank, blank, blank, blank, 100, 2118, 102603.309609559, 8539.34200245244, 9479.28122441508, 41.452497526924, 9637.81982620248, 10968.5618553529, 49.2389968902182, 109.215812945475, 108.2207005344, 241.935234343009,
 D04, 86, 09.18.2022, blank, blank, blank, blank, 100, 2132, 103491.771957951, 8150.37053778027, 9014.22013510218, 43.7020356391022, 9432.10138831146, 10848.9094779388, 50.0317501335182, 105.365069352094, 106.833042518202, 253.020316978571,
 D05, 87, 09.18.2022, blank, blank, blank, blank, 100, 2169, 78373.8386016088, 7662.75852129058, 8202.29571821093, 42.3875756564441, 8024.25901141651, 8749.73991558637, 52.0299326725165, 110.17651297323, 99.8730468978166, 289.692299399886,
 D06, 87, 09.18.2022, blank, blank, blank, blank, 100, 2185, 79831.451257575, 7533.94061873056, 8166.3695297616, 46.1479691016918, 7943.73444550815, 8743.38249286793, 59.6794155692696, 112.383164713763, 99.4999268666937, 292.279461052734,
 D07, 91, 09.18.2022, blank, blank, blank, blank, 100, 2280, 152481.941035739, 7874.91859204522, 9145.9856667236, 50.638095905721, 8182.17348039861, 9469.06102143184, 71.0677243947467, 62.0533587617012, 67.8052472200117, 179.685534699165,
 D08, 91, 09.18.2022, blank, blank, blank, blank, 100, 2289, 160710.339941996, 8068.02325531758, 9312.43559148242, 47.2201745987747, 8301.21945905675, 9600.97418340859, 63.7900429730959, 62.6514448097656, 70.5312787420341, 178.103830102214,
 D09, 92, 09.18.2022, blank, blank, blank, blank, 100, 2046, 131295.188808861, 8318.53797851604, 9345.00685254106, 46.5465710375865, 8512.52676177649, 9863.97432788974, 63.6849963001246, 82.3068481717749, 87.5350180508309, 215.8007260903,
 D10, 92, 09.18.2022, blank, blank, blank, blank, 100, 2123, 171847.191403496, 8589.69043241295, 9468.32288929148, 46.0341876251176, 9063.85346962912, 10213.3932820107, 65.5478467070835, 84.0269749810239, 84.6116245625287, 202.60699646783,
 D11, 93, 09.18.2022, blank, blank, blank, blank, 100, 2371, 114707.090866037, 8392.0024459538, 9391.18991031773, 48.3256985867535, 9750.07608706601, 10937.6669250803, 54.7283155216811, 79.547672623026, 85.2221960280602, 129.038247917113,
 D12, 93, 09.18.2022, blank, blank, blank, blank, 100, 2360, 116187.575962214, 8205.23770046309, 9186.35762910442, 45.6677564540865, 9552.13888383368, 10852.948278332, 50.4947654799883, 79.6855577393287, 87.1001956817153, 109.157269686532,
