Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date , Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 A06, 68-Rep 001, 09.18.2022, 100, 1602, 37996.6033977623, 8464.34166646512, 10159.0612906476, 77.4027791482186, 5152.27453736996, 7413.21441029405, 124.287377181762, 34.3084245776993, 43.3388653356736, 107.256930461532,
 A06, 68-Rep 002, 09.18.2022, 100, 1930, 45768.8129482711, 8273.44155569705, 10176.4432705487, 76.7009904529442, 5356.66466209316, 7647.12504584395, 112.91582195076, 34.280332051644, 43.9186091114576, 109.569122708566,
 A07, 68-Rep 001, 09.18.2022, 100, 935, 22181.4606738673, 8721.43490968503, 10366.8528601936, 80.728821708759, 5357.13209731934, 7442.77852685952, 132.060488542848, 33.906748592389, 41.470117576842, 113.431700420537,
 A07, 68-Rep 002, 09.18.2022, 100, 1003, 23826.9908942477, 8271.1416028752, 10140.0165953201, 74.5927188580474, 5082.59734161252, 7093.15379581868, 115.822730538474, 32.528813243592, 41.1555830419729, 109.820186725839,
 A08, 68-Rep 001, 09.18.2022, 100, 760, 18033.8023272905, 8311.16609786685, 10184.5918732345, 75.322553764734, 4995.16970211791, 7516.52478179221, 120.925176870869, 31.8791179054806, 41.2665877445593, 109.91200783653,
 A08, 68-Rep 002, 09.18.2022, 100, 841, 19958.3408515954, 8231.80040821361, 10158.0909195099, 79.909433721857, 5053.78222478204, 7189.01954567116, 128.156939311463, 32.4477009146576, 42.5432624108442, 116.798909113505,
 A09, 69-Rep 001, 09.18.2022, 100, 1189, 28237.0156147321, 7316.03678731157, 8492.65596732144, 58.4618207701767, 4310.17199142435, 6570.78380345231, 82.9968564707759, 33.7625049409901, 40.9705523435848, 277.183232436254,
 A09, 69-Rep 002, 09.18.2022, 100, 1510, 35802.817505202, 7051.10503411778, 8358.28152165766, 62.9187805697918, 4292.42161160767, 6574.11050468187, 88.1457613165874, 32.0850590959224, 38.7996003644664, 336.251016436686,
 A10, 69-Rep 001, 09.18.2022, 100, 952, 22580.9166464666, 7079.23534342657, 8085.91013637038, 58.8671519953269, 4151.22559398909, 6389.92818729883, 82.8711671943798, 31.0798606087655, 39.3053390312847, 197.219762259404,
 A10, 69-Rep 002, 09.18.2022, 100, 1106, 26229.1767806226, 7168.25252823566, 8885.69918299313, 60.3870906457626, 4362.9327989579, 6504.81285107765, 84.3145894134692, 33.2242403185365, 42.7807109183052, 212.628872147682,
 A11, 69-Rep 001, 09.18.2022, 100, 783, 18574.6358701549, 6660.98527025965, 7409.22310991182, 59.6532344057366, 3783.02063429871, 5093.099207212, 84.0834782188704, 30.6067691820768, 38.6269112922999, 250.365169163554,
 A11, 69-Rep 002, 09.18.2022, 100, 797, 18927.914385578, 7474.64634754672, 9221.90456261107, 55.5257619373073, 4328.30366584284, 6387.73960961427, 81.3963805309373, 34.8021069455483, 44.6895365233301, 130.005645703067,
 A12, 69-Rep 001, 09.18.2022, 100, 1144, 27164.2004214787, 7339.68760281679, 9037.6872843307, 57.297996968664, 4886.96239943932, 7554.95294674909, 74.9553919755273, 34.3234759533151, 43.3296111853342, 217.448604918232,
 A12, 69-Rep 002, 09.18.2022, 100, 1246, 29559.5655833425, 7135.53439848138, 8294.88496611437, 59.0062547982265, 4467.00812079062, 6862.25023621846, 82.6951712431007, 33.9189705636438, 41.2357551767143, 206.930888053611,
 B01, 55-Rep 001, 09.18.2022, 100, 2304, 84412.1127294444, 7323.67487350221, 8997.93411665384, 58.7917657189204, 4535.06238881054, 7104.54117410987, 83.1231798544684, 38.2019231190591, 43.9216953507083, 180.315062800268,
 B01, 55-Rep 002, 09.18.2022, 100, 2299, 86510.359356186, 7384.18077504854, 9364.82533044036, 56.5856062421102, 4596.03726727267, 7221.63715671433, 73.6039225498807, 38.7290720984458, 44.5322712464069, 235.753387495326,
