Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date , Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 C09, 207-Rep 001, 09.18.2022, 100, 4338, 146022.358191176, 5512.66524394202, 5968.32141495409, 52.7971484321224, 7213.91583966414, 7744.25550927228, 52.9194744102241, 85.1132018144921, 79.1996685139087, 205.033852980415,
 C09, 207-Rep 002, 09.18.2022, 100, 4279, 138564.99295038, 5458.38009481561, 5902.37245761003, 49.4876861134064, 7034.05703962824, 7656.60185282352, 48.4432545766831, 83.3259439440229, 77.8890688496756, 188.814886801003,
 C10, 207-Rep 001, 09.18.2022, 100, 4298, 139204.790526832, 5517.05162948355, 5950.16787238885, 52.0718045237007, 7016.95226892273, 7523.91056407106, 52.7528439755199, 82.93625864307, 76.2546832551752, 218.357053709524,
 C10, 207-Rep 002, 09.18.2022, 100, 4272, 143047.218293585, 5434.57690387592, 5906.1161665252, 50.06709910532, 6930.36785224208, 7543.80437599566, 49.4897143661571, 79.5520348580214, 75.8322121813732, 179.626242669426,
 C11, 207-Rep 001, 09.18.2022, 100, 4390, 176552.938531242, 5562.87024935941, 6075.14905875085, 51.4078399106442, 7362.427168821, 7918.44088691784, 50.7884372217425, 88.157609307653, 80.7476928148717, 243.618001149757,
 C11, 207-Rep 002, 09.18.2022, 100, 4364, 172493.513358505, 5500.08076627055, 5994.42309270972, 52.0058063707278, 7228.97918978655, 7786.85256347769, 52.4422205481817, 84.6224630744726, 78.9344571108873, 197.057879730534,
 C12, 207-Rep 001, 09.18.2022, 100, 4207, 128471.380700811, 5235.64457560221, 5580.54282185213, 51.1760384960732, 7112.89124110928, 7568.33220761611, 52.9844148146169, 86.9844297225393, 80.426991940162, 204.778008192276,
 C12, 207-Rep 002, 09.18.2022, 100, 4240, 138438.569287411, 5152.83063441321, 5466.55915657615, 51.4056034398225, 6949.71452816794, 7511.01803625166, 51.8979000343785, 83.1267517621881, 78.1172676923136, 185.560406871802,
 D01, 211-Rep 001, 09.18.2022, 100, 4402, 125943.308908724, 5793.86909319968, 6464.08145884583, 46.8013833934485, 7483.98280424054, 8070.12717528351, 47.6505523845121, 64.4180345697173, 65.0052191765517, 107.71735879778,
 D01, 211-Rep 002, 09.18.2022, 100, 4451, 160072.250274785, 5862.23080844791, 6489.82121469997, 46.0042216292865, 7617.89432044045, 8094.17088461765, 46.578390368255, 64.8577340246846, 66.8585459273828, 99.4197380369768,
 D02, 211-Rep 001, 09.18.2022, 100, 4416, 158875.514446732, 5905.16896329173, 6650.29163181158, 46.2232047133488, 7568.82613035157, 8090.71455614854, 45.39286011692, 64.747090208378, 65.6774722376055, 96.8064887306359,
 D02, 211-Rep 002, 09.18.2022, 100, 4412, 166328.557384803, 5881.87571165279, 6555.95323645658, 47.3036541515862, 7556.70310719795, 8151.87040829751, 47.2222395363147, 63.8170452437576, 64.9373788691296, 93.0668900709101,
 D03, 211-Rep 001, 09.18.2022, 100, 4398, 143171.982799206, 5899.51940838699, 6600.59639041055, 46.7193172853354, 7487.40532806947, 8025.61039741234, 47.4662192071558, 63.7546950651294, 65.0391301978838, 94.3351678189807,
 D03, 211-Rep 002, 09.18.2022, 100, 4420, 151844.870377413, 5872.08731347179, 6498.29902857496, 46.8079110771487, 7536.57549603562, 8022.48722776175, 46.3430525493654, 65.4123132296625, 67.3889553589955, 101.223354609923,
 D04, 211-Rep 001, 09.18.2022, 100, 4477, 169413.055649649, 5932.14834587263, 6648.37885059878, 46.5914949466586, 7734.84269429361, 8246.53389076441, 48.3059453633583, 66.2223798794683, 66.8122782729181, 104.12384436355,
 D04, 211-Rep 002, 09.18.2022, 100, 4436, 176989.110382077, 5859.24335841879, 6547.16657482347, 46.5574986550416, 7667.29936635461, 8169.66083661807, 47.9738956952335, 64.6833218503179, 67.2563474918736, 97.6185548358187,
 D05, 212-Rep 001, 09.18.2022, 100, 4219, 81744.9621655358, 5360.27857641437, 5823.30931392916, 46.9458216847146, 6937.2596715441, 7485.35263910942, 47.9010630230041, 66.8110550821202, 68.1105336454504, 79.384104463344,
 D05, 212-Rep 002, 09.18.2022, 100, 4225, 102523.253795813, 5306.90308615517, 5749.59634546703, 46.4033381458516, 6866.6585137399, 7394.0384123754, 47.1682491685169, 64.6164329449165, 66.5255007885563, 170.516896298418,
 D06, 212-Rep 001, 09.18.2022, 100, 4299, 117703.876420907, 5392.84468306808, 5872.5274322631, 45.4389657972148, 6928.62995808839, 7410.17496801065, 44.7141398488421, 64.6120668473536, 66.6889322984628, 67.8261022010131,
 D06, 212-Rep 002, 09.18.2022, 100, 4279, 121940.416338042, 5304.75803064564, 5774.79218118564, 46.3979307910488, 6797.89941309163, 7348.04550010442, 44.8298270530212, 65.6181507582023, 67.1761631124012, 68.7987274296382,
 D07, 212-Rep 001, 09.18.2022, 100, 4182, 102991.553324073, 5227.51289101882, 5608.14959347065, 46.7093678756661, 6635.15725322122, 7136.28185127474, 45.2566502726279, 63.4037883397405, 64.0955183919273, 67.8420259090309,
 D07, 212-Rep 002, 09.18.2022, 100, 4281, 111484.582126618, 5296.42812983282, 5750.48967833297, 45.9598826877312, 6771.71514779042, 7326.89387104176, 44.2663979960186, 63.9668474697115, 65.5232816486254, 82.5734276343683,
 D08, 212-Rep 001, 09.18.2022, 100, 4257, 121452.527987285, 5269.50045304768, 5693.37646368333, 46.4468614609048, 6712.56339472798, 7201.81007004831, 45.5725892159088, 64.2184412475931, 65.9611734270145, 71.2127096011712,
 D08, 212-Rep 002, 09.18.2022, 100, 4294, 125096.87397901, 5300.76339324299, 5690.73911516977, 45.5624550965515, 6724.91206829321, 7229.51103343933, 44.3191862560786, 65.5172086578493, 67.1946601296258, 79.1028768345796,
