Current Date: 18-Sep-2022
Instrument Serial Number: EC202906C1
Software Name: InCyte
Version Number: 4.0


  Well ,  Sample ID ,  Date , Syms.Percent Percent for SymPop gated by Syms  (%) , Syms.Count Count for SymPop gated by Syms, Syms.Concentration Concentration for SymPop gated by Syms  (cells/mL) , Per.Mean Mean for SymPop gated by Syms, Per.Median Median for SymPop gated by Syms, Per.PercentCV % CV for SymPop gated by Syms  (%) , Chl.Mean Mean for SymPop gated by Syms, Chl.Median Median for SymPop gated by Syms, Chl.PercentCV % CV for SymPop gated by Syms  (%) , Flavin.Mean Mean for SymPop gated by Syms, Flavin.Median Median for SymPop gated by Syms, Flavin.PercentCV % CV for SymPop gated by Syms  (%) ,
 A08, 146-Rep 001, 09.18.2022, 100, 4522, 98763.0955979439, 10487.0798284166, 12660.6804203797, 48.1382091117427, 10987.5966875746, 11632.6354905776, 45.4879046702678, 69.9848891136546, 73.4700683830706, 267.729108037459,
 A08, 146-Rep 002, 09.18.2022, 100, 4578, 123026.910081945, 10505.8229672211, 12515.3117830513, 48.4162680453749, 11103.3614729039, 11721.934504618, 44.589631467984, 72.1036995168975, 74.3982702809588, 115.489006603534,
 A09, 147-Rep 001, 09.18.2022, 100, 4309, 101130.001344806, 8639.90587950094, 10522.5604519725, 54.8908725858866, 10075.8270867935, 11392.153179726, 49.3821768544629, 69.3441064227849, 72.6960598911115, 78.8197135757888,
 A09, 147-Rep 002, 09.18.2022, 100, 4346, 121768.943618065, 8679.85759251871, 10566.0443632267, 53.553605659692, 10130.0803296678, 11448.0887201359, 49.1173200573714, 69.4246063585924, 71.9004574042766, 154.379680024086,
 A10, 147-Rep 001, 09.18.2022, 100, 4358, 99111.4779267795, 8699.45630453809, 10734.9813985896, 53.7154736195328, 10307.0917000522, 11543.0788658769, 47.3497114814339, 68.9894480325442, 72.304417887243, 82.9656600184179,
 A10, 147-Rep 002, 09.18.2022, 100, 4430, 111339.373544023, 8638.89789457792, 10593.0047946202, 53.9924151840701, 10206.0691220866, 11371.5834280574, 48.5264198125476, 69.4951592723235, 72.8872536438284, 152.080217859534,
 A11, 147-Rep 001, 09.18.2022, 100, 4272, 83614.5516126569, 8574.33409174398, 10881.8474390076, 53.8187917240549, 10006.2097084863, 11442.9238119969, 48.0851921884497, 69.8934662802657, 71.9312915256048, 84.6742474666731,
 A11, 147-Rep 002, 09.18.2022, 100, 4368, 102988.088251977, 8543.86536798059, 10535.0685842216, 54.1853110686226, 10100.363452073, 11314.6550792439, 48.365839752343, 70.659435689767, 72.8440717846064, 80.2352890905698,
 A12, 147-Rep 001, 09.18.2022, 100, 4363, 81883.6423159156, 8586.89307783481, 10664.6466881226, 53.4808721722473, 10207.8797241507, 11590.6527530007, 47.7861742796807, 71.3991548173334, 73.1647947082314, 78.2079460349762,
 A12, 147-Rep 002, 09.18.2022, 100, 4452, 107215.955639882, 8725.87600225501, 10745.3467859807, 52.7208101312114, 10503.3463058556, 11816.8093531399, 46.1074642671369, 72.9610521965991, 74.922512246555, 80.0990791538256,
 B01, 151-Rep 001, 09.18.2022, 100, 4128, 58534.6820039946, 8536.32137651241, 10054.5189646251, 48.6503885259557, 9458.7590559575, 10502.8573859159, 48.4503228106981, 78.1504470371474, 79.3137524350012, 139.290951314283,
 B01, 151-Rep 002, 09.18.2022, 100, 4407, 89178.3074721619, 8709.26865317634, 10179.684045973, 47.6474744008531, 9952.97023380579, 10832.162727405, 45.1408831626341, 82.0335574888456, 82.7212943030673, 127.812351291792,
 B02, 151-Rep 001, 09.18.2022, 100, 4365, 87185.7120788652, 8693.24373464621, 10266.2572777601, 48.9702306465748, 9986.44676371719, 10859.7902656508, 46.9439495353082, 81.6291541494511, 81.7622498745733, 133.354944129193,
 B02, 151-Rep 002, 09.18.2022, 100, 4460, 123075.489056319, 8846.67190508086, 10290.3510569523, 48.1521698323789, 10150.5783599488, 10977.1277868279, 45.6469231768381, 82.9953651527328, 83.4151355176629, 143.06613494366,
 B03, 151-Rep 001, 09.18.2022, 100, 4370, 77076.3267712549, 8890.50190301664, 10691.2013385283, 47.9137065850731, 9689.63527479631, 10506.2251814732, 46.8673766783894, 81.3782335947301, 79.5296200765499, 135.401257433924,
 B03, 151-Rep 002, 09.18.2022, 100, 4451, 102129.4038254, 8878.80145543111, 10624.4075511109, 46.7045542230655, 9769.48905092312, 10615.0678697802, 43.0395017602778, 81.261395365096, 80.695268877762, 141.182214493741,
 B04, 151-Rep 001, 09.18.2022, 100, 4361, 84890.0911320269, 8895.41011582396, 10646.395759342, 45.9418841085124, 9839.45255433441, 10699.574159814, 42.9194033171911, 81.9437466263142, 81.901019627639, 129.444087162233,
